model_name,sampling_strategy,hyperparameters,accuracy,precision,recall,f1_score,runtime_seconds
Logistic Regression,None,"{'solver': 'liblinear', 'max_iter': 1000, 'random_state': 42}",0.9986626546305584,0.5714285714285714,0.8,0.6666666666666666,0.14064240455627441
Logistic Regression,SMOTE,"{'solver': 'liblinear', 'max_iter': 1000, 'random_state': 42}",0.9983283182881979,0.5,0.8,0.6153846153846154,3.560178279876709
Logistic Regression,Undersampling,"{'solver': 'liblinear', 'max_iter': 1000, 'random_state': 42}",0.8054162487462387,0.006837606837606838,0.8,0.013559322033898305,0.08377933502197266
Random Forest,None,"{'n_estimators': 50, 'max_depth': 5, 'random_state': 42, 'n_jobs': -1}",0.9979939819458375,0.3333333333333333,0.2,0.25,0.5535175800323486
Random Forest,SMOTE,"{'n_estimators': 50, 'max_depth': 5, 'random_state': 42, 'n_jobs': -1}",0.9986626546305584,0.6,0.6,0.6,0.9297380447387695
Random Forest,Undersampling,"{'n_estimators': 50, 'max_depth': 5, 'random_state': 42, 'n_jobs': -1}",0.9939819458375125,0.19047619047619047,0.8,0.3076923076923077,0.4228851795196533
Random Forest,None,"{'n_estimators': 100, 'max_depth': 10, 'random_state': 42, 'n_jobs': -1}",0.9979939819458375,0.3333333333333333,0.2,0.25,0.9118695259094238
Random Forest,SMOTE,"{'n_estimators': 100, 'max_depth': 10, 'random_state': 42, 'n_jobs': -1}",0.9983283182881979,0.5,0.4,0.4444444444444444,1.7191188335418701
Random Forest,Undersampling,"{'n_estimators': 100, 'max_depth': 10, 'random_state': 42, 'n_jobs': -1}",0.9949849548645938,0.2222222222222222,0.8,0.34782608695652173,0.788661003112793
Random Forest,None,"{'n_estimators': 150, 'max_depth': 15, 'random_state': 42, 'n_jobs': -1}",0.9979939819458375,0.3333333333333333,0.2,0.25,1.2421236038208008
Random Forest,SMOTE,"{'n_estimators': 150, 'max_depth': 15, 'random_state': 42, 'n_jobs': -1}",0.9983283182881979,0.5,0.4,0.4444444444444444,2.180802345275879
Random Forest,Undersampling,"{'n_estimators': 150, 'max_depth': 15, 'random_state': 42, 'n_jobs': -1}",0.994316282179873,0.2,0.8,0.32,1.3518948554992676
KNN (From Scratch),None,"{'k': 3, 'distance_metric': 'Euclidean'}",0.9979939819458375,0.4,0.4,0.4,282.4269435405731
KNN (From Scratch),SMOTE,"{'k': 3, 'distance_metric': 'Euclidean'}",0.9983283182881979,0.5,0.6,0.5454545454545454,547.5737071037292
KNN (From Scratch),Undersampling,"{'k': 3, 'distance_metric': 'Euclidean'}",0.9973253092611167,0.3333333333333333,0.6,0.42857142857142855,2.1016428470611572
KNN (From Scratch),None,"{'k': 5, 'distance_metric': 'Euclidean'}",0.9979939819458375,0.3333333333333333,0.2,0.25,285.9298298358917
KNN (From Scratch),SMOTE,"{'k': 5, 'distance_metric': 'Euclidean'}",0.9983283182881979,0.5,0.6,0.5454545454545454,620.4537386894226
